anio,mes,sentido,total_veh_pagan,total_veh_exon,total_veh_eva
"2019","1","0","677","9","0"
"2019","1","0","3985","24","0"
"2019","1","1","4795","26","0"
"2019","1","0","899","5","0"
"2019","1","0","1682","11","0"
"2019","1","1","2019","17","0"
"2019","1","0","2114","20","0"
"2019","1","1","2948","24","0"
"2019","1","0","827","8","0"
"2019","1","1","814","9","0"
"2019","1","1","263","11","0"
"2019","1","0","144","2","0"
"2019","1","1","216","3","0"
"2019","1","0","381","13","0"
"2019","1","1","458","14","0"
"2019","1","0","668","2","0"
"2019","1","1","737","1","0"
"2019","1","2","452","0","0"
"2019","1","0","222","0","0"
"2019","1","1","230","0","0"
"2019","1","2","659","17","0"
"2019","1","0","357","8","0"
"2019","1","1","302","9","0"
"2019","1","2","227","10","0"
"2019","1","0","121","5","0"
"2019","1","1","106","5","0"
"2019","1","2","1023","14","0"
"2019","1","0","489","7","0"
"2019","1","1","534","7","0"
"2019","1","0","141","5","0"
"2019","1","1","136","6","0"
"2019","1","0","492","13","0"
"2019","1","1","432","14","0"
"2019","1","0","194","35","0"
"2019","1","1","186","36","0"
"2019","1","0","3202","42","0"
"2019","1","1","2997","45","2"
"2019","1","0","1810","2","0"
"2019","1","1","1733","1","0"
"2019","1","0","2129","0","0"
"2019","1","1","3789","1","0"
"2019","1","0","361","7","0"
"2019","1","1","287","6","0"
"2019","1","0","1496","0","0"
"2019","1","1","1479","6","0"
"2019","1","0","746","5","0"
"2019","1","1","693","5","0"
"2019","1","0","2478","7","0"
"2019","1","1","4657","5","0"
"2019","1","0","367","23","0"
"2019","1","1","453","20","0"
"2019","1","0","1254","10","0"
"2019","1","1","1069","9","0"
"2019","1","0","0","3269","0"
"2019","1","0","287","27","0"
"2019","1","1","309","29","0"
"2019","1","0","497","10","0"
"2019","1","1","622","12","0"
"2019","1","0","2280","18","0"
"2019","1","1","3126","17","0"
"2019","1","0","709","8","0"
"2019","1","1","0","732","0"
"2019","1","0","453","4","0"
"2019","1","1","564","4","0"
"2019","1","0","395","5","0"
"2019","1","1","402","5","0"
"2019","1","0","0","1036","0"
"2019","1","1","1070","12","0"
"2019","1","0","160","4","0"
"2019","1","1","210","5","0"
"2019","1","0","1446","9","0"
"2019","1","1","2225","9","0"
"2019","1","0","2814","30","0"
"2019","1","1","3619","26","1"
"2019","1","0","1488","2","1"
"2019","1","1","1857","2","0"
"2019","1","0","1139","9","0"
"2019","1","0","2686","16","0"
"2019","1","0","1639","5","0"
"2019","1","1","3123","12","0"
"2019","1","0","1380","12","0"
"2019","1","1","2194","19","0"
"2019","1","0","2724","9","0"
"2019","1","1","3409","28","0"
"2019","1","0","3184","9","0"
"2019","1","0","5096","45","0"
"2019","1","1","6413","43","0"
"2019","1","0","646","16","0"
"2019","1","1","679","19","0"
"2019","1","0","8278","107","0"
"2019","1","1","12815","123","0"
"2019","1","0","10060","80","0"
"2019","1","0","4078","26","0"
"2019","1","1","7608","50","0"
"2019","1","0","289","4","0"
"2019","1","1","0","4","0"
"2019","1","0","5194","10","0"
"2019","1","0","639","3","0"
"2019","1","0","661","12","0"
"2019","1","0","725","6","0"
"2019","1","0","411","3","0"
"2019","1","0","1357","7","0"
"2019","1","0","4834","51","0"
"2019","1","1","5657","46","0"
"2019","1","0","1685","5","0"
"2019","1","0","2612","11","0"
"2019","1","1","3406","17","0"
"2019","1","0","3874","28","0"
"2019","1","1","4534","25","0"
"2019","1","0","945","5","0"
"2019","1","1","1059","4","0"
"2019","1","1","405","4","0"
"2019","1","0","213","0","0"
"2019","1","1","312","1","0"
"2019","1","0","523","4","0"
"2019","1","1","710","3","0"
"2019","1","0","662","1","0"
"2019","1","1","687","2","0"
"2019","1","2","781","0","0"
"2019","1","0","463","0","0"
"2019","1","1","318","0","0"
"2019","1","2","938","13","0"
"2019","1","0","524","9","0"
"2019","1","1","414","4","0"
"2019","1","2","408","9","0"
