id,cod_enti, cod_ubi_inei,cod_pais ,uo_nombre ,fecha,CO,H2S,NO2,O3,PM10,PM2,SO2,Ruido,UV,Humedad,Latitud,Longitud,Presion,Temperatura
1,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/10/2020 0:00,0.00,0.00,85.06,0.00,158.34,18.64,7.18,102.80,0.00,95.82,-12.11,-77.05,100576.84,16.18
2,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/10/2020 1:00,0.00,0.00,83.87,0.00,181.59,20.70,7.16,95.52,0.00,97.54,-12.11,-77.05,100726.43,15.88
3,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/10/2020 2:00,0.00,0.00,79.02,0.00,172.84,20.43,7.20,69.13,0.00,98.08,-12.11,-77.05,100689.52,15.87
4,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/10/2020 3:00,0.00,0.00,77.80,0.00,134.19,17.62,7.18,82.58,0.00,98.38,-12.11,-77.05,100631.42,15.84
5,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/10/2020 4:00,0.00,0.00,77.49,0.00,99.57,15.75,7.19,73.17,0.00,98.79,-12.11,-77.05,100568.58,15.81
6,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/10/2020 5:00,0.00,0.00,79.47,0.00,99.43,16.64,7.19,73.79,0.00,99.20,-12.11,-77.05,100569.94,15.80
7,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/10/2020 6:00,0.00,0.00,85.37,0.00,114.43,17.31,7.20,85.98,0.00,99.30,-12.11,-77.05,100625.38,15.71
8,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/10/2020 7:00,0.00,0.00,96.96,0.00,68.64,15.78,7.26,93.90,0.00,99.30,-12.11,-77.05,100688.16,15.72
9,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/10/2020 8:00,48.38,0.00,93.59,0.00,97.79,16.70,7.33,103.13,0.30,99.30,-12.11,-77.05,100739.24,15.98
10,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/10/2020 9:00,0.00,0.00,63.26,0.00,31.70,9.78,7.58,100.40,1.14,98.62,-12.11,-77.05,100786.12,16.30
