id,cod_enti," cod_ubi_inei",cod_pais ,uo_nombre ,fecha,CO,H2S,NO2,O3,PM10,PM2,SO2,Ruido,UV,Humedad,Latitud,Longitud,Presion,Temperatura
596,10069,150122,PE,Subgerencia de Desarrollo Ambiental,26/10/2020 8:00,0.00,0.00,83.62,0.00,48.06,16.77,7.58,97.28,0.78,98.65,-12.11,-77.05,100702.00,16.19
131,10069,150122,PE,Subgerencia de Desarrollo Ambiental,06/10/2020 12:00,0.00,0.00,28.31,4.35,21.86,8.43,8.54,105.74,5.18,83.64,-12.11,-77.05,100732.82,19.67
150,10069,150122,PE,Subgerencia de Desarrollo Ambiental,07/10/2020 12:00,0.00,0.00,69.18,0.48,29.53,10.37,7.99,100.37,1.76,89.35,-12.11,-77.05,100720.17,17.54
681,10069,150122,PE,Subgerencia de Desarrollo Ambiental,29/10/2020 21:00,4.46,0.00,111.28,0.00,48.41,8.89,7.28,101.06,0.00,91.78,-12.11,-77.05,1007.73,16.75
217,10069,150122,PE,Subgerencia de Desarrollo Ambiental,10/10/2020 13:00,2.88,0.00,26.96,1.26,15.26,4.91,8.77,102.31,3.58,75.80,-12.11,-77.05,100715.12,20.41
173,10069,150122,PE,Subgerencia de Desarrollo Ambiental,08/10/2020 13:00,0.00,0.00,43.63,0.27,27.82,8.51,8.52,99.45,2.62,82.96,-12.11,-77.05,100750.99,19.21
91,10069,150122,PE,Subgerencia de Desarrollo Ambiental,04/10/2020 20:00,0.00,0.00,86.92,0.00,88.99,20.33,7.14,88.39,0.00,96.97,-12.11,-77.05,100625.10,15.57
491,10069,150122,PE,Subgerencia de Desarrollo Ambiental,21/10/2020 23:00,0.00,0.00,105.30,0.00,169.77,24.72,7.20,89.91,0.00,93.84,-12.11,-77.05,100664.03,16.26
531,10069,150122,PE,Subgerencia de Desarrollo Ambiental,23/10/2020 15:00,0.00,0.00,73.24,0.00,25.68,7.63,8.29,102.52,1.38,80.84,-12.11,-77.05,100534.36,18.91
434,10069,150122,PE,Subgerencia de Desarrollo Ambiental,19/10/2020 14:00,0.00,0.00,51.07,0.00,22.08,6.48,8.28,98.86,1.05,85.05,-12.11,-77.05,100427.53,18.81
65,10069,150122,PE,Subgerencia de Desarrollo Ambiental,03/10/2020 18:00,0.00,0.00,107.84,0.00,97.02,21.69,7.35,102.21,0.08,94.95,-12.11,-77.05,100480.64,16.40
290,10069,150122,PE,Subgerencia de Desarrollo Ambiental,13/10/2020 14:00,0.00,0.00,57.85,0.00,30.58,7.46,8.37,98.16,1.73,86.48,-12.11,-77.05,100526.86,18.46
316,10069,150122,PE,Subgerencia de Desarrollo Ambiental,14/10/2020 16:00,0.00,0.00,91.47,0.00,70.34,11.11,7.78,101.70,0.64,87.95,-12.11,-77.05,100575.57,17.49
408,10069,150122,PE,Subgerencia de Desarrollo Ambiental,18/10/2020 12:00,0.00,0.00,23.33,0.60,55.19,8.30,8.27,97.86,1.56,78.67,-12.11,-77.05,100838.59,19.14
541,10069,150122,PE,Subgerencia de Desarrollo Ambiental,24/10/2020 1:00,6.09,0.00,85.76,0.00,62.44,12.72,7.19,83.56,0.00,93.80,-12.11,-77.05,100850.35,16.39
298,10069,150122,PE,Subgerencia de Desarrollo Ambiental,13/10/2020 22:00,0.00,0.00,101.36,0.00,126.19,14.42,7.24,94.68,0.00,94.94,-12.11,-77.05,100691.69,16.20
158,10069,150122,PE,Subgerencia de Desarrollo Ambiental,07/10/2020 22:00,0.00,0.00,116.17,0.00,101.84,19.70,7.25,91.08,0.00,95.20,-12.11,-77.05,100802.25,16.44
425,10069,150122,PE,Subgerencia de Desarrollo Ambiental,19/10/2020 5:00,0.00,0.00,86.62,0.00,216.12,26.90,7.19,88.21,0.00,96.66,-12.11,-77.05,100494.16,16.37
540,10069,150122,PE,Subgerencia de Desarrollo Ambiental,24/10/2020 0:00,0.00,0.00,89.33,0.00,62.86,12.91,7.19,82.77,0.00,93.26,-12.11,-77.05,100919.26,16.58
607,10069,150122,PE,Subgerencia de Desarrollo Ambiental,26/10/2020 19:00,0.00,0.00,126.69,0.00,58.44,11.72,7.28,99.39,0.00,92.90,-12.11,-77.05,100602.46,16.70
233,10069,150122,PE,Subgerencia de Desarrollo Ambiental,11/10/2020 5:00,0.00,0.00,92.24,0.00,91.56,15.96,7.20,80.10,0.00,98.88,-12.11,-77.05,100591.45,15.50
712,10069,150122,PE,Subgerencia de Desarrollo Ambiental,31/10/2020 4:00,0.00,0.00,86.14,0.00,104.21,16.40,7.19,81.16,0.00,95.06,-12.11,-77.05,1006.50,16.23
280,10069,150122,PE,Subgerencia de Desarrollo Ambiental,13/10/2020 4:00,0.00,0.00,87.89,0.00,40.35,14.29,7.21,75.44,0.00,98.37,-12.11,-77.05,100428.32,15.50
701,10069,150122,PE,Subgerencia de Desarrollo Ambiental,30/10/2020 17:00,0.00,0.00,97.80,0.00,23.36,7.50,7.57,96.95,0.37,92.38,-12.11,-77.05,1007.20,16.96
619,10069,150122,PE,Subgerencia de Desarrollo Ambiental,27/10/2020 7:00,0.00,0.00,93.79,0.00,50.03,12.58,7.22,99.48,0.14,99.30,-12.11,-77.05,100688.48,15.52
196,10069,150122,PE,Subgerencia de Desarrollo Ambiental,09/10/2020 16:00,6.12,0.00,94.41,0.00,34.46,8.43,7.94,97.93,0.88,85.64,-12.11,-77.05,100538.90,18.05
8,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/10/2020 7:00,0.00,0.00,96.96,0.00,68.64,15.78,7.26,93.90,0.00,99.30,-12.11,-77.05,100688.16,15.72
391,10069,150122,PE,Subgerencia de Desarrollo Ambiental,17/10/2020 19:00,0.00,0.00,120.26,0.00,82.48,13.30,7.42,96.86,0.00,93.00,-12.11,-77.05,100512.78,17.08
168,10069,150122,PE,Subgerencia de Desarrollo Ambiental,08/10/2020 8:00,0.00,0.00,93.92,0.00,68.25,18.15,7.50,99.93,0.53,95.43,-12.11,-77.05,100903.79,16.91
40,10069,150122,PE,Subgerencia de Desarrollo Ambiental,02/10/2020 15:00,0.00,0.00,56.06,0.00,31.78,10.44,8.20,102.13,1.53,89.66,-12.11,-77.05,100576.85,17.90
1,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/10/2020 0:00,0.00,0.00,85.06,0.00,158.34,18.64,7.18,102.80,0.00,95.82,-12.11,-77.05,100576.84,16.18
508,10069,150122,PE,Subgerencia de Desarrollo Ambiental,22/10/2020 16:00,0.00,0.00,90.01,0.00,71.33,14.85,8.08,99.11,0.61,87.19,-12.11,-77.05,100519.07,18.28
585,10069,150122,PE,Subgerencia de Desarrollo Ambiental,25/10/2020 21:00,0.00,0.00,104.89,0.00,91.88,13.78,7.19,87.24,0.00,95.35,-12.11,-77.05,100758.78,16.14
503,10069,150122,PE,Subgerencia de Desarrollo Ambiental,22/10/2020 11:00,0.00,0.00,39.77,0.00,34.18,12.08,8.35,103.88,3.15,90.94,-12.11,-77.05,100659.44,17.49
521,10069,150122,PE,Subgerencia de Desarrollo Ambiental,23/10/2020 5:00,0.00,0.00,87.44,0.00,74.33,18.17,7.17,75.05,0.00,97.08,-12.11,-77.05,100573.82,15.44
351,10069,150122,PE,Subgerencia de Desarrollo Ambiental,16/10/2020 3:00,0.00,0.00,89.06,0.00,91.47,17.52,7.23,67.91,0.00,97.58,-12.11,-77.05,100481.64,16.10
536,10069,150122,PE,Subgerencia de Desarrollo Ambiental,23/10/2020 20:00,0.00,0.00,116.40,0.00,80.14,15.44,7.33,95.94,0.00,93.44,-12.11,-77.05,100863.30,16.92
291,10069,150122,PE,Subgerencia de Desarrollo Ambiental,13/10/2020 15:00,0.00,0.00,86.80,0.00,39.00,8.39,8.13,103.07,1.04,86.95,-12.11,-77.05,100465.64,18.38
155,10069,150122,PE,Subgerencia de Desarrollo Ambiental,07/10/2020 17:00,0.00,0.00,116.89,0.00,42.46,12.49,7.54,101.12,0.27,92.92,-12.11,-77.05,100537.53,17.07
528,10069,150122,PE,Subgerencia de Desarrollo Ambiental,23/10/2020 12:00,0.00,0.00,27.68,0.17,23.27,7.36,8.50,103.31,3.09,83.91,-12.11,-77.05,100683.06,18.94
164,10069,150122,PE,Subgerencia de Desarrollo Ambiental,08/10/2020 4:00,0.00,0.00,89.77,0.00,58.62,16.56,7.20,84.20,0.00,97.31,-12.11,-77.05,100685.51,15.88
613,10069,150122,PE,Subgerencia de Desarrollo Ambiental,27/10/2020 1:00,81.82,0.05,91.99,0.00,65.04,12.48,7.19,82.01,0.00,97.35,-12.11,-77.05,100689.34,15.66
33,10069,150122,PE,Subgerencia de Desarrollo Ambiental,02/10/2020 8:00,0.00,0.00,87.78,0.00,46.23,11.22,7.32,99.02,0.31,98.69,-12.11,-77.05,100663.64,16.07
380,10069,150122,PE,Subgerencia de Desarrollo Ambiental,17/10/2020 8:00,0.00,0.00,84.23,0.00,74.35,16.03,7.49,98.71,0.31,95.93,-12.11,-77.05,100635.00,17.00
210,10069,150122,PE,Subgerencia de Desarrollo Ambiental,10/10/2020 6:00,0.00,0.00,93.97,0.00,94.41,16.70,7.23,84.96,0.00,95.40,-12.11,-77.05,100806.30,15.92
273,10069,150122,PE,Subgerencia de Desarrollo Ambiental,12/10/2020 21:00,0.00,0.00,114.62,0.00,82.24,17.39,7.25,99.63,0.00,97.10,-12.11,-77.05,100498.37,16.18
67,10069,150122,PE,Subgerencia de Desarrollo Ambiental,03/10/2020 20:00,0.00,0.00,114.47,0.00,159.68,25.08,7.22,98.16,0.00,96.56,-12.11,-77.05,100614.84,16.03
197,10069,150122,PE,Subgerencia de Desarrollo Ambiental,09/10/2020 17:00,1.19,0.00,107.81,0.00,31.05,8.63,7.60,96.63,0.26,89.15,-12.11,-77.05,100558.37,17.10
184,10069,150122,PE,Subgerencia de Desarrollo Ambiental,09/10/2020 4:00,0.00,0.00,88.27,0.00,70.42,15.20,7.22,81.67,0.00,96.89,-12.11,-77.05,100715.51,15.91
28,10069,150122,PE,Subgerencia de Desarrollo Ambiental,02/10/2020 3:00,0.00,0.00,78.61,0.00,62.82,11.87,7.19,73.76,0.00,99.30,-12.11,-77.05,100522.21,15.42
